brand_name,platform_name,title,caption_text,hashtags,like_count,view_count,comment_count,upload_date,content_url
CU,인스타그램,,,,,,,2025-10-25 23:18:28,https://www.instagram.com/p/DQQBVR2k-G9/
,인스타그램,,"""CU 건강기능식품 90% 할인  CU 건기식 90% 할인?! 🤩 💊건기식 17종 5개 이상 토스페이 머니/계좌 결제시 적용  🗓️ 기간 ~ 5월 31일 → 최대 80% 할인 5/5, 5/8, 5/15 → 최대 90% 할인  🎁 포켓 CU QR 스캔 > 토스페이 머니/계좌 결제  ⚠️ 일 1회, 1회 최대 20,000원 한도 💌 대상 상품 및 재고 조회는 ‘씨유’ 댓글 남기기 🔔팔로우하시고 다양한 할인정보 빠르게 받아보세요!"".",,32,,53,2026-05-04 22:00:22,https://www.instagram.com/p/DX7shUkk8iv/
,인스타그램,,,,,,,2025-09-26 02:16:00,https://www.instagram.com/p/DPDGBlREkRY/
,인스타그램,,"""ㅤ #EVENT 다 떨어진 건강기능식품을 발견한 아침! 하루 거르는 게 찝찝한 분?  공복에는 먹기 싫은 건강기능식품! 쉽게 언제든지 섭취하고 싶은 분?  전국 6천개 CU에서 바로 고민 해결 가능합니다 :)   믿을 수 있는 동아제약이 직접 개발한 필수 건강기능식품 8종 런칭  1. 셀파렉스 비타민C #끓어올려 2. 셀파렉스 마그네슘 #에너지 3. 셀파렉스 테아닌 #괜찮아  4. 셀파렉스 루테인지아잔틴 #눈호강 5. 셀파렉스 rTG오메가3 #혈행의선순환 6. 셀파렉스 밀크씨슬 #지금이순간 7. 셀파렉스 MSM 2000 #관절해 8. 셀파렉스 칼슘마그네슘비타민D #약골탈퇴  전 제품 5,000원에 상시 1+1 행사  ㄴ 개당 2,500원!! (교차구매 가능)  9~10월 매주 월요일 ""건강기능식품데이"" 단 하루! 6개 구매 시 67% 파격할인  ㄴ 9,900원 ▶ 개당 1,650원!  💬 댓글 EVENT 💬 지금 나에게 가장 필요한 건강기능식품이 무엇인지 댓글로 남겨주세요! 추첨을 통해 선물을 드립니다!  ✅ CU 공식 인스타그램 팔로우 필수! ✅ 기간: 9/23(화)~9/30(화) ✅ 당첨자 발표: 10/10(금) *당첨자 개별 DM 발표 ✅ 경품: CU 모바일상품권 3천원권 (10명)  ※ 본 이벤트는 2건의 게시물에서 동시에 진행 됩니다.  #동아제약 #셀파렉스 #건강기능식품 #건기식 #CU건기식 #CU #씨유 #당신의_좋은친구_CU  *판매원 ㈜동아제약 *제조원 : ㈜서흥, ㈜코스맥스바이오"".","#EVENT, #끓어올려, #에너지, #괜찮아, #눈호강, #혈행의선순환, #지금이순간, #관절해, #약골탈퇴, #동아제약, #셀파렉스, #건강기능식품, #건기식, #CU건기식, #CU, #씨유, #당신의_좋은친구_CU",296,,252,2025-09-23 04:56:57,https://www.instagram.com/p/DO7V9_nDdQl/
,인스타그램,,"""다이소는 실패했는데, 이번엔 CU(@cu_official)가 건기식 시장에 다시 도전장을 냈다고?! 🧐  전국 6,000여 특화점에서 건강기능식품을 선보인다는 CU의 당당한 발표가 이달 1일에 발표되었습니다. 다이소 때와는 다르게 일부 매장만 ‘특화점’으로 지정해서 인허가까지 꼼꼼히 챙긴 점이 차별화 포인트!  제약사와의 협업으로 CU에서만 만날 수 있는 단독 제품들도 곧 등장 예정이라는 소식까지! 앞으로의 반응이 궁금해지는데요, 편의점 시장 1위의 새로운 도전. 지금 카드뉴스에서 만나보세요 💚  @labit.official ————————— #마케팅매거진 #마케팅트렌드 #트렌드매거진 #트렌드레터 #마케팅인사이트 #건기식 #건강기능식품 #CU"".","#마케팅매거진, #마케팅트렌드, #트렌드매거진, #트렌드레터, #마케팅인사이트, #건기식, #건강기능식품, #CU",9,,1,2025-07-03 13:35:25,https://www.instagram.com/p/DLpcNaPzs7P/
,인스타그램,,"""(광고) 이게 다 5,900원이라고요? 😳   월급 빼고 다 오르는 요즘, 건강기능식품 챙겨 먹고 싶어도 비싼 건 부담되고 싼 건 “이거 함량 거의 없는 거 아냐?” 한 번쯤 의심해본 적 있지 않으세요?   그래서 제가 손품·발품 팔아가며 정착한 게 바로 CJ웰케어 건강기능식품 라인업이에요.   ✔️ 전 제품 균일가 6,900원 ✔️ 커피 한 잔 값으로 한 달 건강관리 ✔️ 출시된 지 한 달도 안 된 따끈한 신상   “왜 이렇게 싸?” 싶었는데 알고 보니 기본이 1개월 분이고 ✅루테인지아잔틴은 40일분 ✅비타민D 4000IU는 60일분 ✅나머지 8종도 전부 30일분   게다가 대기업 CJ에서 만든 제품이라 제약·식품 R&D 기반 ✔️ 정확한 함량✔️ 과학적 배합✔️ 철저한 품질관리 👉 CJ웰케어 3종 품질 기준 모두 통과     비타민 C, 오메가3, 비타민 D 같은 기본템부터 비싸서 망설였던 밀크씨슬 · 비오틴 · 글루타치온 · 바나잎추출물까지 이 가격에 고를 수 있다는 게 솔직히 놀라웠어요.   “싼 게 비지떡 아니야?”라는 생각, 함량이랑 원료사 보면 바로 사라집니다.   과하지도 부족하지도 않게, 가격 · 품질 · 함량 딱 밸런스 좋은 건강기능식품 찾는다면 이 라인업 한 번은 꼭 보세요 👀💊   @cjwellcare #CJ웰케어#건강기능식품 #건강기능식품추천 #오메가3추천 비타민추천"".","#CJ웰케어, #건강기능식품, #건강기능식품추천, #오메가3추천",582,,35,2026-02-24 10:30:59,https://www.instagram.com/p/DVIyqkIklH7/
,인스타그램,,"""ㅤ #EVENT  다가오는 설날 🌤 명절 선물 고민은 이제 끝!  설 명절맞이 건강관리 선물 ᕦ(๑•̀o•́๑)ᕤ CU와 함께 준비하세요!  마음을 전하는 파격 행사 🔥 건강기능식품 5개 구매 시 10,000원!!  💚 종근당 종합건강 10정 외 8종 각 5,000원 - 종근당 시리즈 9종 상품 간 교차구매 가능  🧡 동아 에너지 10정 외 7종 각 5,000원 - 동아 시리즈 8종 상품 간 교차구매 가능  ※ 판매원 : ㈜종근당 ※ 제조원 : 코스맥스엔비티, 네추럴웨이, 메디오젠  ※ 판매원 : ㈜동아제약 ※ 제조원 : 서흥, 코스맥스바이오  💬 댓글 EVENT 💬 이번 설에는 건강관리 선물로 마음을 전해보세요♡ 친구를 태그해 건강기능식품 행사 소식을 알려주세요! 추첨을 통해 선물을 드립니다 🎁  ✔️ @cu_official 인스타그램 계정 팔로우 ✔️ 이벤트 기간: 2/9(월) ~ 2/16(월) ✔️ 당첨자 발표: 2/23(월) *DM 개별 발표 ✔️ 경품: CU 모바일상품권 5천원권 (10명)  #건강기능식품 #건기식 #CU건기식 #CU할인 #CU행사 #할인행사 #CU프로모션 #CU #씨유 #CU편의점 #당신의_좋은친구_CU"".","#EVENT, #건강기능식품, #건기식, #CU건기식, #CU할인, #CU행사, #할인행사, #CU프로모션, #CU, #씨유, #CU편의점, #당신의_좋은친구_CU",697,,773,2026-02-09 07:10:58,https://www.instagram.com/p/DUhsyHvD5uD/
,인스타그램,,,,,,,2026-03-03 04:59:44,https://www.instagram.com/p/DVaOOeOExCq/
,인스타그램,,"""#광고 물가 상승과 경기 침체 속에서도 건강 관리는 놓칠 수 없는 가운데 CJ웰케어(@cjwellcare_official)가 ‘가격 혁명’ 콘셉트의 건강기능식품 10종 라인업을 선보였습니다.💊 전 제품이 균일가 6,900원으로 구성돼 커피 한 잔 가격으로 한 달 건강 관리가 가능한데요. 기본 구성은 모두 1개월분이며 루테인지아잔틴은 40일분, 비타민D 4000IU는 60일분으로 넉넉하게 설계됐습니다.📦 비타민C는 DSM 영국산 원료에 1,000mg 함량, 오메가3는 초임계 rTG 방식에 700mg 함량, 비타민D는 4,000IU로 가성비와 품질을 함께 고려했습니다.⚖️ 기초 라인뿐 아니라 밀크씨슬, 비오틴, 글루타치온, 바나바잎추출물 등 요즘 주목받는 원료까지 포함돼 맞춤형 선택이 가능합니다. CJ그룹의 품질 기준을 적용한 제품으로 가격 부담은 낮추고 신뢰도는 높인 건강 루틴 제안입니다.✅"".",#광고,131,,0,2026-01-30 08:58:09,https://www.instagram.com/p/DUIQNQxjJmQ/
,인스타그램,,"""와... CU가 진짜 물가 때려잡으려고 작정했나 봐요! 🥳✨ 요즘 비싸서 못 사 먹던 건강기능식품 17종이 무려 90% 할인 중!  이거 실화인가 싶어서 계산해봤더니, 5개 이상 사면 개당 가격이 편의점 껌값 수준... ㄷㄷ 비타민부터 유산균, 홍삼까지 종류도 다양해서 부모님 선물이나 내 건강 챙기기에 딱이에요!  ✅ 이벤트 요약 (필독!)  내용: 건강기능식품 대상 품목 17종 90% 할인 조건: 대상 상품 5개 이상 구매 시 적용! (교차 선택 가능 여부 확인) 품목: 멀티비타민, 루테인, 밀크씨슬, 유산균 등 인기 17종  기간: 2026년 5월 한정 (재고 소진 시 종료)  자세한 링크 정보는 @humorzzip 팔로우후 댓글에 <건기식> 남기면 링크 쏴드림🚀  편의점마다 재고가 다를 수 있으니 '포켓CU' 앱으로 재고 조회하고 가세요! 품절 대란 예상되니까 보이면 일단 바구니에 담는 게 승리자입니다. 🏃‍♂️💨  ""이거 알려주면 엄마한테 칭찬받음 ㅋㅋㅋ @친구태그해서 같이 쓸어오기!"" 👇  #CU #CU신상 #CU편의점 #편의점꿀팁 #건강기능식품"".","#CU, #CU신상, #CU편의점, #편의점꿀팁, #건강기능식품",12,,1,2026-05-06 08:55:31,https://www.instagram.com/p/DX_cRAjGKy5/
