comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
30대되서 배운거 알려준다. 26학번들 잘들어!! 영상에서 말한거 다 필요없고 마시다가 살짝 술이 들어왔다는 느낌이 드는순간 물로 바꿔치기해서 물만 마시면 적당히 취해서 집에갈수있고 숙취도 없다!!! 대학친구 영원할줄알고 부어라마셔라 해뜰때까지 마셔봤는데 그거 다 부질없더라. 물로 바꿔치기 할때 눈치빨라서 넌 왜 물마셔!! 하는애 있는 술자리는 가지마라!!,44,"['배우', '알리', '학번', '영상', '필요', '마시', '들어오', '느낌', '순간', '바꿔치기', '마시', '취하', '숙취', '대학', '친구', '영원', '마시', '마시', '그거', '부질없', '바꾸', '눈치', '빠르', '마시', '술자리']",중립,중립
🥹뽀로로대학생이 벌써 술을 이기는 방법을 알다니 흠흠☺️,44,"['뽀로로', '대학', '이기', '방법']",중립,중립
안취하는 방법은 이게 맞지만 오로지 숙취가 걱정이시면 알디콤 플러스가 직빵입니다…. 술은 잘 마시는데 숙취가 심해서 숙취해소제 이것저것 다 먹어봤는데 알디콤 플러스만한게 없어요,44,"['취하', '방법', '이것', '숙취', '걱정', '알디콤', '플러스', '마시', '숙취', '심하', '숙취', '해소', '이것저것', '알디콤', '플러스']",중립,중립
그냥 적장히 먹는게 좋습니다 ㅋㅋ,44,['적장'],중립,중립
RU21은 인정,44,['인정'],중립,중립
참새구이가 맛있더라구요 ㅎㅎ,44,"['참새', '구이', '맛있']",중립,중립
이거 간상해요..,44,"['이거', '상하']",중립,중립
취하고 싶어서 술 마시는건데 안취하면 ㅜㅜ,44,"['취하', '마시', '취하']",중립,중립
없어도 10병깐다 숙취는 평생없었다...이러다 확 가겠지....,44,"['숙취', '평생', '이러']",중립,중립
예아....,44,[],중립,중립
이렇게까지 먹어야되나....,44,['이렇'],중립,중립
세병까면 다개됩니다,44,[],중립,중립
애쓰신다 아빠 한살이라도 젊었을때 많이 드셔보시길 난 그대로거나 짬차서 강해지는데 아빠는 확 갈때 얼마나 안타까운지 여러 사건이 있었지만 장인어른과 아빠가 나보다 월등히 슬 못먹는게 어느순간 느껴졌을때 서글픔 물론 여기서 말한 밀크시슬류(우루사)는 거의 매일먹고 및 ru21은 진짜 가끔 먹음,44,"['애쓰', '아빠', '드시', '강하', '아빠', '안타깝', '사건', '장인어른', '아빠', '순간', '느끼', '서글프', '여기', '밀크', '우루사']",중립,중립
이정도면 10병 까는거 라이브로 올리는게...,44,"['정도', '라이브', '올리']",중립,중립
그냥 이런거없이 다 잘먹고 술도 많이먹고 다음날 숙취도없이 일상생활하는 사람들이 제일 신기함,44,"['다음날', '숙취', '일상', '생활', '사람']",중립,중립
차라리 못 마시는척 하겠음,44,['마시'],중립,중립
젊으니까 간이 생생하니 저게 통하는거지...나같은 40대는 오만방법 다써도 이미 간이 쩔어있어서....이게 술인지...물인지 감없이 들이붓다보면 개되어 있음...,44,"['저것', '통하', '거지', '방법', '이것', '들이붓']",중립,중립
열어분 절대는 없습니다~😢 저도 알고싶지 않았어여~...,44,['어부'],중립,중립
내일 저희 과의 자존심을 걸고 술배 나갑니다. 살아 돌아오겠습니다,44,"['저희', '자존심', '나가', '돌아오']",중립,중립
술을 안먹는게,44,[],중립,중립
단백이 ㄹㅇ 히트임ㅋㅋ,45,"['단백', '히트']",중립,중립
"아니 단백이 진짜 좋아보이는데...??! 회사 앞에 gs에서 맨날 프로틴쉐이크랑 닭가슴살 사먹었는데 이제 단백이로 단백질 챙기면 될 것 같아서 벌써 좋음,,,,, cu에서만 파는 줄 알았는데 댓글에서 gs에도 판다고 해주셔서 넘 기뿜 ㅜㅜㅜ 단백이로 단백질 열심히 채워볼ㄹ게요",45,"['단백', '보이', '회사', '프로', '쉐이크', '가슴살', '단백질', '챙기', '댓글', '단백', '단백질', '채우']",긍정,중립
운동 막 시작해서 편의점에서는 닭가슴살만 먹었는데 단백이라는게 있었다니 한번 먹어봐야겠네요-,45,"['운동', '시작', '편의점', '가슴살', '단백']",중립,중립
요즘 형님 영상보고 식단 참고하고있습니다! 단백이까지 먹으면 더 완벽할것같습니다!!!!!!,45,"['요즘', '영상', '보고', '식단', '참고', '완벽']",중립,중립
진짜 내가필요한 영상이다,45,"['필요', '영상']",중립,중립
초밥 다이어트 컨텐츠 해주세여😂,45,"['초밥', '다이어트', '컨텐츠']",중립,중립
헤어스타일 멋져요,45,"['헤어', '스타일', '멋지']",중립,중립
저게 먼가요? 자세히.비타민 비인가요.씨인가요? 오메가3인가요? 그냥 효능만보고 그냥 중복으로 사도되는건가요?,46,"['저것', '비타민', '오메가', '효능', '중복']",중립,중립
양이얼마나되는지요,46,[],중립,중립
다이소 엠에스앰,46,"['다이소', '에스']",중립,중립
그냥발로해라화면두번얼첬냐누를릴없다,46,"['발로', '화면', '누르']",중립,중립
*우리 동네 약사님은 간수치 높아진다고 가급적 다이소 영양제 먹지 말라던데용..*,46,"['우리', '동네', '약사', '간수', '다이소', '영양제']",중립,중립
양비ㅣㅣ진,46,[],중립,중립
그래요말과글오ㅡㄹ리니 감시 합니디ㅣㅡ,46,"['오리', '감시']",중립,중립
😂,46,[],중립,중립
과연 믿을수있음?싼게비지떡.허접하면싸지,46,"['비지', '허접']",중립,중립
ㅎ,46,[],중립,중립
이렇게 정직하게 비교해주는 약사가 있어서 다행이네요.,47,"['이렇', '정직', '비교', '다행']",중립,중립
약국에서 파는 영양제와 함량 같습니다 약국은 판매마진이 높다는 차이입니다 다이소영양제 고를때 함량을 보고사면 됩니다,47,"['약국', '영양제', '함량', '약국', '판매', '마진', '차이', '다이소', '영양제', '고르', '함량']",중립,중립
브이팩 남성용이랑 같이 먹을 종합비타민은 어떤게 좋을까요??,47,"['브이', '남성', '종합', '비타민']",중립,중립
다이소 신제품으로 스트레스쉼 + 기억력 그린라이트 합쳐놓은 기억력의 정석이라는 제품 나왔어요! 하나 가격으로 두개를 합쳐놓은거 같아서 일단 구매해봤는데 잘산건가요!?,47,"['다이소', '제품', '스트레스', '기억력', '그린', '라이트', '합치', '기억력', '정석', '제품', '나오', '하나', '가격', '합치', '구매']",중립,중립
캬,47,[],중립,중립
콜라겐이 먹는다고 흡수기 도나요,47,"['콜라겐', '흡수']",중립,중립
그냥 센트룸 드셔,47,"['센트', '드시']",중립,중립
눈은 안국약품 토비콤루테인지아잔틴,47,"['안국', '약품', '토비콤루테인지아잔틴']",중립,중립
격이 떨어지는 순간들~!,47,"['떨어지', '순간']",중립,중립
안국약품이 비교적 좋군요!,47,"['안국', '약품']",중립,중립
비타민d 는 진짜 아무거나 먹어도 되는 영양소임;;,49,"['비타민', '아무거', '영양소']",중립,중립
영상 못보겠다.. 음석이 겹쳐서 나옴,49,"['영상', '겹치', '나오']",중립,중립
뭘 두번 터치하래 ㅡㅡ,49,['터치'],중립,중립
"안녕하세요, 디렉터파이입니다. 본 영상은 전 제품 구매하여 제작한 영상입니다.",50,"['안녕', '디렉터', '파이', '영상', '제품', '구매', '제작', '영상']",중립,중립
3가지 제품 한번에 같이 먹어도 되나요 ??? 아침에 먹어야되나요?,50,"['가지', '제품', '아침']",중립,중립
이 영상에 나온 방법 그대~로 적용해서 월 1억 번 60대 컴맹의 스토리가 궁금하다면? 이 영상 클릭해보세요~! (▼클릭) https://youtu.be/jz6mQFKJVJw,51,"['영상', '나오', '방법', '적용', '컴맹', '스토리', '영상', '클릭', '클릭']",중립,중립
"강의수료 뿐만아니라 영업신고, 사업자등록까지 해야되지 않나요??",51,"['강의', '수료', '아니', '영업', '신고', '사업자', '등록']",중립,중립
건기식은 쿠팡에서 소명요청을 많이하는거 같은데요... 재고확보나 구매이력도 없이 그냥 올리기만하면 되나요? 올렸는데 만약 정품소명 하라고하면 어찌 대응하면 좋을까요?,51,"['건기', '쿠팡', '소명', '요청', '재고', '확보', '구매', '이력', '올리', '올리', '만약', '정품', '소명', '대응']",중립,중립
